neighbourhood_group,latitude,longitude,room_type,minimum_nights,availability_365
Brooklyn,40.68985,-73.99311,Entire home/apt,5,2
Brooklyn,40.69185,-73.95896,Private room,10,17
Brooklyn,40.68296,-73.9358,Private room,2,11
Manhattan,40.72697,-73.9805,Private room,1,365
Brooklyn,40.67211,-73.976,Entire home/apt,3,68
Manhattan,40.7424,-73.9837,Entire home/apt,3,28
Brooklyn,40.71684,-73.9451,Private room,2,80
Brooklyn,40.68258,-73.90472,Entire home/apt,1,235
Manhattan,40.84543,-73.94283,Private room,1,280
Manhattan,40.71895,-73.98813,Entire home/apt,2,333
Manhattan,40.74767,-73.975,Entire home/apt,3,129
Brooklyn,40.68965,-73.92908,Entire home/apt,4,161
Manhattan,40.74771,-73.98727,Entire home/apt,1,230
Manhattan,40.76154,-73.99306,Entire home/apt,2,240
Queens,40.76649,-73.92356,Entire home/apt,2,23
Queens,40.76514,-73.91212,Private room,1,308
Brooklyn,40.69485,-73.93866,Private room,5,28
Manhattan,40.76309,-73.95697,Entire home/apt,3,301
Brooklyn,40.72078,-73.95892,Private room,2,54
Brooklyn,40.67673,-73.9362,Private room,2,351
Brooklyn,40.65381,-73.94893,Private room,3,12
Bronx,40.88017,-73.83574,Entire home/apt,2,359
Brooklyn,40.6838,-73.95161,Private room,2,349
Manhattan,40.79976,-73.95119,Private room,3,4
Queens,40.75896,-73.9153,Private room,30,341
Brooklyn,40.67356,-73.9321,Private room,2,329
Brooklyn,40.66323,-73.98117,Private room,2,10
Manhattan,40.76037,-73.99171,Private room,1,270
Queens,40.77113,-73.90459,Entire home/apt,2,41
Queens,40.70817,-73.83595,Private room,1,17
Brooklyn,40.67483,-73.9646,Private room,4,339
Manhattan,40.79695,-73.9356,Entire home/apt,2,7
Manhattan,40.82915,-73.95136,Entire home/apt,31,209
Brooklyn,40.68376,-73.91121,Private room,2,206
Queens,40.76145,-73.92273,Private room,3,10
Manhattan,40.74029,-74.00578,Entire home/apt,2,250
Queens,40.75997,-73.81287,Private room,4,171
Brooklyn,40.71304,-73.96381,Entire home/apt,1,329
Manhattan,40.8348,-73.94067,Entire home/apt,2,300
Manhattan,40.73613,-73.9987,Private room,1,75
Manhattan,40.81325,-73.95323,Private room,6,18
Brooklyn,40.68602,-73.98311,Entire home/apt,2,311
Manhattan,40.86234,-73.92705,Private room,3,255
Manhattan,40.74156,-74.00037,Entire home/apt,3,288
Brooklyn,40.68374,-73.9456,Private room,1,363
Brooklyn,40.68658,-73.96752,Private room,1,139
Manhattan,40.83591,-73.94586,Entire home/apt,5,83
Brooklyn,40.6886,-73.91209,Entire home/apt,4,258
Queens,40.69587,-73.84798,Private room,1,176
Brooklyn,40.68841,-73.95082,Entire home/apt,2,267
Manhattan,40.81456,-73.94583,Private room,6,308
Manhattan,40.76374,-73.99422,Private room,1,289
Brooklyn,40.68992,-73.97528,Private room,4,291
Brooklyn,40.69449,-73.91156,Private room,2,235
Brooklyn,40.72446,-73.94008,Entire home/apt,30,34
Manhattan,40.72213,-73.99479,Entire home/apt,2,3
Manhattan,40.76156,-73.99342,Entire home/apt,45,56
Brooklyn,40.69636,-73.91138,Private room,1,285
Brooklyn,40.63931,-73.94451,Private room,1,364
Manhattan,40.71987,-73.99729,Shared room,5,89
Brooklyn,40.67995,-73.90922,Entire home/apt,2,292
Manhattan,40.72367,-73.98244,Entire home/apt,2,2
Brooklyn,40.70663,-73.9175,Entire home/apt,30,87
Manhattan,40.70724,-74.00614,Entire home/apt,29,337
Manhattan,40.73301,-73.99819,Entire home/apt,3,144
Queens,40.73383,-73.87346,Entire home/apt,2,78
Brooklyn,40.71347,-73.96452,Private room,3,19
Manhattan,40.75578,-73.99523,Private room,2,30
Brooklyn,40.71227,-73.957,Entire home/apt,30,152
Brooklyn,40.63032,-73.9936,Entire home/apt,6,18
Brooklyn,40.7043,-73.98667,Entire home/apt,2,235
Brooklyn,40.6796,-73.96948,Private room,1,324
Brooklyn,40.67169,-73.9326,Private room,3,93
Brooklyn,40.72669,-73.9419,Entire home/apt,30,325
Queens,40.7698,-73.87183,Entire home/apt,1,360
Manhattan,40.76389,-73.98671,Shared room,1,33
Brooklyn,40.69802,-73.97614,Private room,3,365
Bronx,40.81214,-73.85371,Entire home/apt,1,325
Brooklyn,40.69731,-73.92417,Private room,2,20
Manhattan,40.82292,-73.95373,Private room,2,45
Manhattan,40.71813,-73.99665,Private room,3,317
Queens,40.74981,-73.82742,Private room,7,134
Manhattan,40.71588,-73.99099,Entire home/apt,6,1
Manhattan,40.75819,-73.99347,Entire home/apt,29,287
Brooklyn,40.71216,-73.96326,Private room,3,268
Manhattan,40.76199,-73.98627,Private room,2,340
Queens,40.72407,-73.86585,Private room,4,365
Manhattan,40.73343,-73.98634,Entire home/apt,3,25
Manhattan,40.72184,-73.9944,Entire home/apt,30,106
Manhattan,40.76389,-73.9871,Shared room,1,225
Brooklyn,40.68437,-73.98654,Entire home/apt,5,224
Queens,40.75786,-73.92808,Private room,2,20
Brooklyn,40.6797,-73.94361,Entire home/apt,7,1
Manhattan,40.73434,-73.99963,Entire home/apt,2,59
Manhattan,40.71917,-73.98343,Entire home/apt,1,253
Manhattan,40.79922,-73.94187,Shared room,1,83
Queens,40.72147,-73.86317,Entire home/apt,3,32
Brooklyn,40.68411,-73.93208,Private room,1,189
Manhattan,40.79233,-73.9643,Entire home/apt,4,274
Brooklyn,40.6093,-73.95211,Shared room,2,358
Brooklyn,40.67948,-73.94388,Private room,2,31
Staten Island,40.62845,-74.12294,Entire home/apt,2,342
Manhattan,40.76163,-73.99335,Entire home/apt,30,310
Queens,40.69017,-73.86683,Entire home/apt,4,106
Brooklyn,40.64468,-73.94219,Entire home/apt,4,27
Brooklyn,40.73399,-73.95542,Private room,2,85
Manhattan,40.7497,-73.99515,Private room,1,292
Queens,40.70505,-73.89042,Entire home/apt,4,101
Manhattan,40.80653,-73.95194,Entire home/apt,4,14
Queens,40.70382,-73.73955,Entire home/apt,2,345
Brooklyn,40.66859,-73.98235,Entire home/apt,20,149
Brooklyn,40.70915,-73.96479,Private room,30,365
Manhattan,40.7211,-73.99321,Entire home/apt,30,151
Manhattan,40.75976,-73.98761,Private room,1,283
Brooklyn,40.66801,-73.98773,Private room,1,269
Manhattan,40.71405,-73.99291,Private room,3,337
Manhattan,40.80183,-73.96542,Private room,1,12
Queens,40.69649,-73.90564,Private room,1,107
Manhattan,40.73017,-73.98668,Entire home/apt,1,120
Brooklyn,40.70045,-73.93832,Private room,5,169
Brooklyn,40.73578,-73.95369,Entire home/apt,4,321
Brooklyn,40.6929,-73.99111,Entire home/apt,7,151
Manhattan,40.70644,-74.01214,Entire home/apt,2,347
Brooklyn,40.68571,-73.95033,Entire home/apt,1,98
Queens,40.74568,-73.90844,Private room,2,177
Manhattan,40.72782,-73.98095,Entire home/apt,5,13
Brooklyn,40.68322,-73.95085,Private room,1,321
Brooklyn,40.67114,-73.94921,Entire home/apt,3,1
Manhattan,40.84414,-73.94099,Private room,1,179
Brooklyn,40.67507,-73.97792,Entire home/apt,5,189
Brooklyn,40.59932,-73.95936,Shared room,7,281
Bronx,40.86643,-73.88895,Private room,2,110
Manhattan,40.79208,-73.94642,Entire home/apt,1,146
Brooklyn,40.6882,-73.94678,Entire home/apt,1,20
Manhattan,40.71431,-73.99142,Entire home/apt,30,341
Queens,40.75906,-73.87771,Private room,1,363
Manhattan,40.74648,-74.00266,Private room,30,105
Brooklyn,40.69359,-73.93911,Private room,2,82
Brooklyn,40.66858,-73.92661,Private room,2,179
Manhattan,40.83403,-73.94553,Private room,1,343
Brooklyn,40.69266,-73.92058,Private room,1,16
Manhattan,40.72236,-74.00255,Entire home/apt,3,77
Manhattan,40.70712,-74.00609,Private room,7,344
Manhattan,40.73131,-73.98609,Entire home/apt,2,156
Manhattan,40.73737,-74.00591,Private room,1,239
Brooklyn,40.72549,-73.95574,Private room,1,27
Manhattan,40.80823,-73.94963,Private room,14,265
Manhattan,40.74158,-73.99585,Entire home/apt,29,342
Bronx,40.8372,-73.84345,Entire home/apt,2,129
Brooklyn,40.71097,-73.9533,Entire home/apt,2,96
Manhattan,40.8238,-73.94794,Entire home/apt,2,5
Queens,40.78714,-73.84378,Entire home/apt,2,358
Brooklyn,40.67896,-73.95748,Entire home/apt,4,13
Manhattan,40.76062,-73.99741,Entire home/apt,30,185
Queens,40.73269,-73.8584,Entire home/apt,4,6
Brooklyn,40.69822,-73.93517,Private room,2,296
Brooklyn,40.6772,-73.9506,Private room,7,365
Manhattan,40.72352,-73.99498,Entire home/apt,30,293
Brooklyn,40.70001,-73.93914,Private room,30,338
Manhattan,40.73486,-73.99843,Entire home/apt,1,363
Manhattan,40.76181,-73.99855,Entire home/apt,30,281
Brooklyn,40.71301,-73.94846,Private room,3,180
Brooklyn,40.68886,-73.93084,Entire home/apt,2,273
Manhattan,40.7644,-73.9693,Entire home/apt,2,216
Manhattan,40.72503,-73.98546,Entire home/apt,1,11
Brooklyn,40.67851,-74.01591,Entire home/apt,1,306
Manhattan,40.73993,-74.00147,Entire home/apt,30,307
Brooklyn,40.71603,-73.9409,Entire home/apt,5,35
Brooklyn,40.67323,-73.8892,Private room,3,329
Brooklyn,40.6437,-73.95973,Entire home/apt,4,19
Manhattan,40.75218,-74.00241,Entire home/apt,4,34
Brooklyn,40.71079,-73.95192,Private room,4,35
Brooklyn,40.6848,-73.94939,Private room,2,302
Brooklyn,40.68595,-73.93109,Private room,30,345
Manhattan,40.72813,-73.99258,Entire home/apt,2,38
Brooklyn,40.71704,-73.95789,Entire home/apt,4,197
Queens,40.67807,-73.8486,Private room,1,335
Brooklyn,40.62923,-73.95746,Entire home/apt,2,165
Manhattan,40.80012,-73.94087,Private room,2,23
Manhattan,40.71867,-73.98959,Private room,2,341
Queens,40.77114,-73.90968,Private room,14,317
Bronx,40.83516,-73.86024,Entire home/apt,2,349
Manhattan,40.77742,-73.95149,Entire home/apt,31,248
Brooklyn,40.66934,-73.98793,Entire home/apt,5,207
Manhattan,40.75861,-73.96359,Entire home/apt,30,149
Manhattan,40.82675,-73.9463,Private room,2,109
Brooklyn,40.71614,-73.95282,Private room,30,225
Manhattan,40.75055,-73.99482,Private room,1,351
Queens,40.69433,-73.83114,Private room,1,129
Queens,40.73462,-73.85705,Private room,1,280
Manhattan,40.70816,-74.0019,Entire home/apt,2,127
Brooklyn,40.6697,-73.8954,Private room,7,247
Manhattan,40.82258,-73.95464,Private room,1,80
Manhattan,40.73143,-74.00338,Entire home/apt,3,344
Manhattan,40.73895,-74.00393,Entire home/apt,1,8
Manhattan,40.84751,-73.93864,Private room,2,35
Manhattan,40.76241,-73.99606,Entire home/apt,29,319
Manhattan,40.74478,-73.9727,Entire home/apt,30,235
Manhattan,40.71389,-73.98239,Entire home/apt,3,91
Manhattan,40.7836,-73.95093,Entire home/apt,7,3
Manhattan,40.7824,-73.98215,Entire home/apt,30,220
Manhattan,40.73684,-74.00844,Entire home/apt,4,5
Queens,40.7274,-73.86537,Private room,1,95
Brooklyn,40.69429,-73.98415,Entire home/apt,1,365
Brooklyn,40.68633,-73.97164,Entire home/apt,2,4
Manhattan,40.78693,-73.97558,Entire home/apt,30,188
Brooklyn,40.72124,-73.95984,Entire home/apt,2,351
Manhattan,40.83069,-73.94779,Private room,4,115
Manhattan,40.73865,-73.9788,Private room,1,147
Brooklyn,40.70269,-73.91778,Private room,2,282
Brooklyn,40.68609,-73.90733,Entire home/apt,2,77
Manhattan,40.72005,-73.98911,Entire home/apt,4,26
Brooklyn,40.70165,-73.92262,Private room,4,7
Manhattan,40.83551,-73.94232,Private room,2,145
Brooklyn,40.69327,-73.91599,Private room,1,250
Brooklyn,40.58662,-73.94263,Entire home/apt,3,227
Brooklyn,40.68794,-73.93626,Private room,2,358
Brooklyn,40.69474,-73.95498,Entire home/apt,10,24
Bronx,40.82754,-73.82124,Private room,1,365
Staten Island,40.57641,-74.12931,Entire home/apt,2,71
Queens,40.73622,-73.8466,Entire home/apt,2,21
Brooklyn,40.68237,-73.9415,Entire home/apt,26,364
Manhattan,40.7223,-73.9821,Entire home/apt,2,16
Brooklyn,40.66452,-73.9337,Private room,30,354
Manhattan,40.73881,-74.00398,Entire home/apt,2,234
Manhattan,40.71491,-73.99878,Entire home/apt,2,5
Brooklyn,40.65131,-73.96307,Private room,1,51
Brooklyn,40.6766,-73.99855,Private room,3,178
Manhattan,40.85065,-73.93188,Private room,2,78
Brooklyn,40.69318,-73.94739,Entire home/apt,2,95
Manhattan,40.78327,-73.97343,Entire home/apt,30,365
Manhattan,40.72184,-73.99471,Private room,2,246
Queens,40.7054,-73.90233,Private room,1,90
Staten Island,40.59691,-74.087,Private room,4,359
Brooklyn,40.72595,-73.95298,Entire home/apt,29,335
Manhattan,40.76769,-73.99129,Private room,30,105
Queens,40.6675,-73.75245,Entire home/apt,2,146
Brooklyn,40.71358,-73.94092,Private room,1,173
Brooklyn,40.68461,-73.95203,Entire home/apt,1,323
Brooklyn,40.62857,-73.94071,Entire home/apt,2,230
Brooklyn,40.71114,-73.96153,Private room,14,139
Brooklyn,40.69034,-73.96675,Entire home/apt,1,171
Manhattan,40.715,-73.98596,Private room,1,123
Queens,40.76403,-73.90612,Entire home/apt,2,307
Queens,40.74035,-73.87617,Private room,29,6
Manhattan,40.75948,-73.98615,Entire home/apt,29,193
Manhattan,40.72613,-74.00188,Entire home/apt,2,8
Manhattan,40.75741,-73.96372,Entire home/apt,2,328
Brooklyn,40.69366,-73.93794,Private room,1,173
Manhattan,40.78025,-73.94802,Private room,2,145
Brooklyn,40.69174,-73.91141,Private room,3,332
Brooklyn,40.68822,-73.96018,Private room,2,11
Brooklyn,40.66751,-73.95867,Entire home/apt,2,39
Manhattan,40.71976,-73.98397,Entire home/apt,2,12
Manhattan,40.76651,-73.95155,Entire home/apt,2,267
Brooklyn,40.65308,-73.95109,Entire home/apt,2,153
Manhattan,40.71426,-73.99175,Entire home/apt,7,19
Manhattan,40.8003,-73.93829,Private room,7,26
Brooklyn,40.66827,-73.92509,Entire home/apt,1,174
Bronx,40.8279,-73.90516,Private room,2,345
Manhattan,40.74688,-73.98701,Entire home/apt,4,208
Brooklyn,40.68639,-73.9624,Entire home/apt,3,364
Brooklyn,40.6377,-73.97062,Private room,2,189
Manhattan,40.76647,-73.9829,Entire home/apt,30,345
Manhattan,40.81981,-73.95353,Private room,1,60
Brooklyn,40.62361,-73.93423,Private room,1,349
Queens,40.71843,-73.81266,Private room,4,111
Brooklyn,40.69014,-73.97347,Entire home/apt,5,21
Manhattan,40.75599,-73.96769,Entire home/apt,3,239
Manhattan,40.70581,-74.00948,Private room,14,146
Manhattan,40.7687,-73.98927,Entire home/apt,2,12
Brooklyn,40.6758,-73.93932,Private room,3,249
Brooklyn,40.69372,-73.9485,Entire home/apt,3,219
Bronx,40.83729,-73.83323,Private room,1,330
Manhattan,40.76295,-73.95725,Entire home/apt,6,76
Brooklyn,40.66811,-73.99451,Entire home/apt,5,45
Queens,40.7125,-73.87703,Entire home/apt,2,155
Brooklyn,40.71624,-73.96272,Entire home/apt,45,89
Manhattan,40.80102,-73.96669,Private room,1,130
Manhattan,40.76494,-73.9881,Entire home/apt,30,336
Brooklyn,40.68643,-73.9976,Entire home/apt,4,33
Brooklyn,40.6881,-73.92843,Private room,30,145
Brooklyn,40.65465,-73.93383,Shared room,31,41
Queens,40.73156,-73.88551,Private room,7,337
Manhattan,40.70587,-74.00685,Entire home/apt,29,332
Brooklyn,40.63808,-73.9001,Private room,2,354
Bronx,40.85696,-73.91439,Private room,2,71
Brooklyn,40.67023,-73.9567,Entire home/apt,2,4
Manhattan,40.74972,-73.99655,Entire home/apt,3,281
Manhattan,40.7189,-73.99654,Entire home/apt,7,335
Manhattan,40.72709,-73.98582,Entire home/apt,1,15
Manhattan,40.7069,-74.0092,Entire home/apt,30,332
Brooklyn,40.65399,-74.00363,Private room,1,357
Brooklyn,40.65837,-73.96115,Private room,3,296
Manhattan,40.7613,-73.96152,Entire home/apt,1,32
Brooklyn,40.67533,-73.95545,Entire home/apt,1,7
Brooklyn,40.70086,-73.93063,Entire home/apt,2,288
Brooklyn,40.62251,-73.99397,Entire home/apt,14,73
Brooklyn,40.69839,-73.97666,Entire home/apt,14,32
Brooklyn,40.69134,-73.97229,Entire home/apt,10,189
Brooklyn,40.69491,-73.98244,Private room,5,172
Brooklyn,40.68475,-73.97986,Entire home/apt,2,11
Manhattan,40.81097,-73.96001,Private room,3,128
Brooklyn,40.72253,-73.9435,Private room,7,62
Manhattan,40.84817,-73.93848,Private room,3,18
Brooklyn,40.66242,-73.90128,Private room,2,176
Manhattan,40.78028,-73.94769,Entire home/apt,3,340
Brooklyn,40.61183,-73.98219,Private room,5,58
Manhattan,40.75316,-73.9851,Entire home/apt,2,206
Brooklyn,40.68582,-73.94231,Private room,1,89
Manhattan,40.79887,-73.95968,Private room,30,342
Manhattan,40.78822,-73.94871,Entire home/apt,3,222
Queens,40.78071,-73.9149,Entire home/apt,2,226
Manhattan,40.72948,-73.98856,Entire home/apt,5,12
Brooklyn,40.71209,-73.9634,Entire home/apt,4,9
Brooklyn,40.68581,-73.91176,Private room,1,179
Queens,40.69272,-73.76264,Entire home/apt,2,89
Queens,40.7473,-73.93914,Private room,1,296
Manhattan,40.80735,-73.95684,Entire home/apt,2,176
Brooklyn,40.68309,-73.94219,Entire home/apt,3,231
Brooklyn,40.71211,-73.96276,Entire home/apt,2,153
Brooklyn,40.71437,-73.96054,Entire home/apt,3,21
Manhattan,40.84832,-73.93583,Private room,1,77
Brooklyn,40.71967,-73.96001,Entire home/apt,2,4
Manhattan,40.80044,-73.95953,Private room,30,317
Manhattan,40.85277,-73.92916,Entire home/apt,2,365
Manhattan,40.81024,-73.94362,Entire home/apt,2,18
Manhattan,40.76458,-73.99007,Private room,1,134
Queens,40.76117,-73.92847,Private room,3,18
Brooklyn,40.67722,-73.95005,Entire home/apt,3,309
Manhattan,40.77768,-73.95064,Entire home/apt,31,338
Queens,40.74573,-73.92261,Private room,6,128
Brooklyn,40.69339,-73.95881,Private room,2,17
Staten Island,40.54268,-74.16254,Private room,1,258
Brooklyn,40.67705,-73.99655,Entire home/apt,2,258
Manhattan,40.71749,-73.99016,Entire home/apt,30,80
Brooklyn,40.66421,-73.98706,Entire home/apt,4,62
Queens,40.75367,-73.9289,Private room,5,49
Manhattan,40.72272,-73.98379,Entire home/apt,30,330
Queens,40.73734,-73.87215,Entire home/apt,4,60
Brooklyn,40.70816,-73.93931,Entire home/apt,2,296
Manhattan,40.7266,-73.9875,Entire home/apt,20,27
Brooklyn,40.69295,-73.90792,Entire home/apt,2,256
Brooklyn,40.69431,-73.92247,Private room,1,168
Brooklyn,40.68183,-73.95046,Entire home/apt,2,3
Manhattan,40.76282,-73.96734,Entire home/apt,1,190
Queens,40.75666,-73.91449,Entire home/apt,3,352
Manhattan,40.78815,-73.9436,Entire home/apt,30,338
Manhattan,40.86801,-73.92372,Entire home/apt,2,103
Brooklyn,40.63439,-73.94397,Entire home/apt,6,128
Manhattan,40.7551,-73.99556,Private room,7,362
Manhattan,40.76318,-73.99335,Entire home/apt,30,263
Manhattan,40.76139,-73.9625,Entire home/apt,30,365
Manhattan,40.76279,-73.99463,Entire home/apt,2,139
Brooklyn,40.69574,-73.93111,Entire home/apt,5,38
Brooklyn,40.71829,-73.95926,Entire home/apt,2,257
Manhattan,40.73132,-73.99979,Entire home/apt,30,231
Manhattan,40.75095,-73.97115,Entire home/apt,4,40
Queens,40.7371,-73.88086,Private room,1,239
Brooklyn,40.68754,-73.90975,Private room,1,179
Manhattan,40.72329,-73.98486,Private room,2,200
Brooklyn,40.72288,-73.9514,Entire home/apt,21,264
Brooklyn,40.68996,-73.92046,Entire home/apt,7,355
Manhattan,40.80667,-73.95182,Entire home/apt,5,9
Brooklyn,40.70745,-73.94307,Shared room,3,88
Brooklyn,40.71031,-73.93623,Private room,3,126
Bronx,40.82565,-73.91095,Shared room,1,179
Brooklyn,40.68861,-73.94109,Entire home/apt,1,137
Manhattan,40.71894,-73.99759,Entire home/apt,2,275
Brooklyn,40.69117,-73.92805,Private room,11,48
Manhattan,40.76676,-73.98953,Entire home/apt,6,11
Manhattan,40.76876,-73.98359,Entire home/apt,3,301
Brooklyn,40.68062,-73.94418,Entire home/apt,30,284
Brooklyn,40.67476,-73.93016,Entire home/apt,1,249
Manhattan,40.74405,-73.97349,Entire home/apt,30,365
Manhattan,40.8312,-73.9399,Private room,7,90
Manhattan,40.72486,-73.98241,Entire home/apt,30,190
Manhattan,40.72334,-73.9839,Entire home/apt,2,15
Brooklyn,40.67738,-73.99723,Entire home/apt,3,106
Brooklyn,40.69151,-73.96059,Entire home/apt,3,113
Manhattan,40.73813,-73.98098,Entire home/apt,1,225
Brooklyn,40.67903,-73.91037,Private room,1,9
Queens,40.75414,-73.81536,Private room,1,365
Queens,40.77558,-73.90506,Entire home/apt,2,5
Manhattan,40.81586,-73.94117,Entire home/apt,5,260
Brooklyn,40.69035,-73.99633,Entire home/apt,8,85
Brooklyn,40.69683,-73.99206,Entire home/apt,4,254
Bronx,40.87287,-73.90157,Private room,2,365
Staten Island,40.60816,-74.07634,Entire home/apt,3,247
Queens,40.76376,-73.83094,Private room,1,342
Brooklyn,40.63899,-73.94886,Shared room,30,365
Brooklyn,40.67798,-74.00787,Entire home/apt,1,333
Brooklyn,40.71045,-73.93826,Private room,2,355
Manhattan,40.71705,-73.99668,Private room,6,317
Brooklyn,40.70249,-73.91904,Private room,30,347
Brooklyn,40.71315,-73.95411,Private room,2,26
Manhattan,40.76636,-73.98574,Private room,1,156
Queens,40.7712,-73.78189,Private room,2,302
Manhattan,40.75055,-73.99237,Entire home/apt,3,313
Manhattan,40.80492,-73.95817,Private room,30,333
Queens,40.74774,-73.88653,Entire home/apt,2,6
Brooklyn,40.67758,-73.90841,Private room,1,32
Queens,40.77063,-73.87543,Private room,1,164
Manhattan,40.70719,-74.00698,Entire home/apt,1,323
Queens,40.77882,-73.90935,Private room,2,74
Brooklyn,40.64245,-73.95216,Entire home/apt,2,87
Brooklyn,40.70416,-73.98999,Entire home/apt,30,365
Brooklyn,40.60626,-73.9754,Private room,1,335
Queens,40.73753,-73.92233,Shared room,5,23
Brooklyn,40.6745,-73.99582,Entire home/apt,30,67
Queens,40.68853,-73.85474,Private room,1,335
Manhattan,40.79376,-73.94679,Private room,1,115
Brooklyn,40.65801,-73.95732,Entire home/apt,4,127
Brooklyn,40.65719,-73.95421,Private room,4,6
Brooklyn,40.70182,-73.92922,Private room,1,295
Manhattan,40.77134,-73.94832,Entire home/apt,2,88
Manhattan,40.76364,-73.99465,Entire home/apt,30,365
Manhattan,40.80252,-73.9547,Private room,1,177
Manhattan,40.79983,-73.94116,Shared room,2,11
Manhattan,40.75526,-73.99719,Private room,7,342
Brooklyn,40.7176,-73.95927,Entire home/apt,1,272
Brooklyn,40.66254,-73.88896,Private room,3,79
Manhattan,40.76248,-73.98937,Entire home/apt,4,61
Brooklyn,40.66957,-73.95764,Private room,1,146
Manhattan,40.71292,-73.99819,Private room,2,89
Manhattan,40.79863,-73.93795,Entire home/apt,7,363
Manhattan,40.71527,-73.9898,Private room,8,334
Brooklyn,40.68933,-73.96082,Private room,3,189
Manhattan,40.709,-74.01221,Entire home/apt,30,126
Brooklyn,40.68831,-73.99159,Entire home/apt,2,1
Queens,40.70458,-73.81418,Private room,1,355
Brooklyn,40.67573,-73.99878,Entire home/apt,6,24
Queens,40.74444,-73.896,Private room,1,90
Manhattan,40.78517,-73.97672,Entire home/apt,5,53
Bronx,40.82236,-73.90227,Private room,2,361
Brooklyn,40.7264,-73.95405,Entire home/apt,5,26
Brooklyn,40.63378,-73.95867,Private room,3,248
Manhattan,40.76302,-73.98833,Entire home/apt,3,46
Manhattan,40.80476,-73.94074,Shared room,1,88
Manhattan,40.75971,-73.98551,Entire home/apt,30,266
Manhattan,40.73598,-74.0048,Entire home/apt,30,47
Brooklyn,40.65684,-73.95719,Private room,1,249
Manhattan,40.71206,-73.99055,Private room,1,249
Brooklyn,40.68165,-73.96006,Entire home/apt,3,3
Brooklyn,40.71955,-73.96049,Private room,2,188
Queens,40.77859,-73.84323,Entire home/apt,1,77
Manhattan,40.82957,-73.94535,Private room,3,37
Manhattan,40.76413,-73.98435,Private room,1,271
Brooklyn,40.71126,-73.94576,Entire home/apt,3,135
Brooklyn,40.67928,-73.98254,Private room,1,236
Manhattan,40.7786,-73.97578,Entire home/apt,7,292
Brooklyn,40.67185,-73.94524,Private room,3,220
Queens,40.71127,-73.84278,Private room,2,364
Manhattan,40.79524,-73.93429,Entire home/apt,1,356
Manhattan,40.80605,-73.94889,Entire home/apt,5,16
Brooklyn,40.73813,-73.95394,Private room,3,81
Queens,40.75391,-73.90256,Private room,2,156
Queens,40.66333,-73.7661,Private room,14,341
Brooklyn,40.69698,-73.90774,Private room,3,364
Brooklyn,40.6953,-73.95832,Private room,1,365
Brooklyn,40.72569,-73.94017,Entire home/apt,30,127
Brooklyn,40.65845,-73.96064,Private room,1,40
Manhattan,40.74,-73.97936,Entire home/apt,30,342
Manhattan,40.73477,-74.00246,Entire home/apt,3,107
Queens,40.74967,-73.86311,Shared room,1,365
Brooklyn,40.72455,-73.94633,Entire home/apt,3,6
Manhattan,40.78644,-73.9438,Private room,30,311
Manhattan,40.73014,-73.98152,Entire home/apt,3,10
Manhattan,40.82291,-73.94171,Entire home/apt,2,193
Brooklyn,40.66595,-73.97973,Entire home/apt,4,67
Staten Island,40.57825,-74.08879,Entire home/apt,4,134
Manhattan,40.7413,-74.00429,Entire home/apt,30,275
